"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Calliostoma zizyphinum";"Calliostoma zizyphinum";"141767";141767;"Calliostoma";"Calliostomatidae";"Trochida";"Gastropoda";"Mollusca"
"Nemertesia antennina";"Nemertesia antennina";"117809";117809;"Nemertesia";"Plumulariidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Ophiura albida";"Ophiura albida";"124913";124913;"Ophiura";"Ophiuridae";"Ophiurida";"Ophiuroidea";"Echinodermata"
"Sergia robusta";"Robustosergia robusta";"107136";107136;"Sergia";"Sergestidae";"Decapoda";"Malacostraca";"Arthropoda"
"Diogenes pugilator";"Diogenes pugilator";"107199";107199;"Diogenes";"Diogenidae";"Decapoda";"Malacostraca";"Arthropoda"
"Pilumnus hirtellus";"Pilumnus hirtellus";"107418";107418;"Pilumnus";"Pilumnidae";"Decapoda";"Malacostraca";"Arthropoda"
"Veretillum cynomorium";"Veretillum cynomorium";"128536";128536;"Veretillum";"Veretillidae";"Pennatulacea";"Anthozoa";"Cnidaria"
"Galathea intermedia";"Galathea intermedia";"107150";107150;"Galathea";"Galatheidae";"Decapoda";"Malacostraca";"Arthropoda"
"Processa elegantula";"Processa elegantula";"107684";107684;"Processa";"Processidae";"Decapoda";"Malacostraca";"Arthropoda"
"Trochidae";"Trochidae";"443";443;NA;"Trochidae";"Trochida";"Gastropoda";"Mollusca"
"Ophiura";"Ophiura";"123574";123574;"Ophiura";"Ophiuridae";"Ophiurida";"Ophiuroidea";"Echinodermata"
"Portunidae";"Portunidae";"106763";106763;NA;"Portunidae";"Decapoda";"Malacostraca";"Arthropoda"
"Echinocardium pennatifidum";"Echinocardium pennatifidum";"124402";124402;"Echinocardium";"Loveniidae";"Spatangoida";"Echinoidea";"Echinodermata"
"Leptopentacta elongata";"Paraleptopentacta elongata";"124635";124635;"Leptopentacta";"Cucumariidae";"Dendrochirotida";"Holothuroidea";"Echinodermata"
"Nemertesia ramosa";"Nemertesia ramosa";"117815";117815;"Nemertesia";"Plumulariidae";"Leptothecata";"Hydrozoa";"Cnidaria"
